PlateNumber,Position,PlatePosition,Well,Nitrogen,Strain,Treatment_rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
11,0_0,plate1,a03,Low,Inoculated,Rep1,10951,0.349983323,1,6,1.25,11 a03,10.951
11,0_0,plate1,c03,High,Inoculated,Rep1,11092,0.336361236,1,6,1.25,11 c03,11.1525
12,0_1,plate2,a02,Low,Inoculated,Rep2,4513,0.337883063,1,6,1.25,12 a02,4.5135
12,0_1,plate2,b05,Low,Sterile,Rep2,4557.5,0.341196085,1,6,1.25,12 b05,4.6965
12,0_1,plate2,c02,High,Inoculated,Rep2,7229,0.335549465,1,6,1.25,12 c02,7.288
12,0_1,plate2,d05,High,Sterile,Rep2,3330,0.318790532,1,6,1.25,12 d05,3.33
13,0_2,plate1,b04,Low,Sterile,Rep3,3659,0.33303205,1,6,1.25,13 b04,3.659
13,0_2,plate1,c01,High,Inoculated,Rep3,2006.5,0.327358842,1,6,1.25,13 c01,2.129
13,0_2,plate1,d04,High,Sterile,Rep3,6923,0.343848668,1,6,1.25,13 d04,7.088
14,0_3,plate2,b03,Low,Sterile,Rep4,4061,0.341243435,1,6,1.25,14 b03,4.4945
14,0_3,plate2,b06,Low,Inoculated,Rep4,7817.5,0.344437031,1,6,1.25,14 b06,7.924
14,0_3,plate2,d03,High,Sterile,Rep4,6015.5,0.329221926,1,6,1.25,14 d03,6.0155
14,0_3,plate2,d06,High,Inoculated,Rep4,2198,0.310164119,1,6,1.25,14 d06,2.286
15,0_4,plate1,b05,Low,Inoculated,Rep5,4524,0.329803449,1,6,1.25,15 b05,4.2635
15,0_4,plate1,d02,High,Sterile,Rep5,6166,0.336060416,1,6,1.25,15 d02,6.5655
16,1_0,plate2,b01,Low,Sterile,Rep6,3118,0.333902995,1,6,1.25,16 b01,3.226
16,1_0,plate2,b04,Low,Inoculated,Rep6,5113.5,0.336305621,1,6,1.25,16 b04,3.408
16,1_0,plate2,d04,High,Inoculated,Rep6,3666,0.331921396,1,6,1.25,16 d04,5.4685
17,1_1,plate1,a06,Low,Sterile,Rep7,7174,0.343709494,1,6,1.25,17 a06,6.957
17,1_1,plate1,b03,Low,Inoculated,Rep7,7257,0.337985953,1,6,1.25,17 b03,7.257
17,1_1,plate1,c06,High,Sterile,Rep7,3206,0.335585582,1,6,1.25,17 c06,3.307
