Plant_growth_rate,Growth_SE,ContSaline,StrainID
2.42913445,0.079963743,Low,Ancestor
2.161183789,0.064828983,Low,Sterile
3.765609798,0.133416332,Low,St1
2.280201521,0.133339022,Low,St21
2.305529794,0.132859853,Low,St41
2.222053613,0.133046858,Low,St62
1.798771744,0.132305642,Low,St2
2.519332282,0.132667906,Low,St22
2.170131544,0.133069345,Low,St42
1.609038525,0.13364684,Low,St63
2.541282144,0.13333306,Low,St3
1.651274306,0.133966838,Low,St23
2.133945393,0.132602775,Low,St43
1.756878337,0.133655041,Low,St64
2.008115271,0.133030922,Low,St24
0.756577081,0.133099123,Low,St44
1.726089513,0.134252124,Low,St65
1.870700998,0.133340842,Low,St25
1.274301799,0.133408852,Low,St45
2.155223674,0.133455703,Low,St67
2.486258594,0.13414974,Low,St46
3.288358864,0.132811758,Low,St69
3.325670684,0.134000963,Low,St7
1.884961038,0.132820824,Low,St47
1.08042925,0.135728785,Low,St70
1.362603476,0.133454309,Low,St8
1.259743418,0.133073325,Low,St48
1.179278938,0.133076279,Low,St9
1.783005519,0.133668594,Low,St49
1.527701842,0.13340821,Low,St50
3.30439843,0.133987977,Low,St32
2.78656976,0.134443142,Low,St13
1.840984103,0.134333456,Low,St33
2.05523798,0.137813064,Low,St14
2.385438245,0.13473798,Low,St15
1.825725077,0.133840127,Low,St37
2.865891643,0.135314566,Low,St19
3.983969737,0.136063763,Low,St39
2.490673479,0.152798482,Low,St31
1.685559341,0.133799194,High,St1
1.120880809,0.133157646,High,St21
2.353754371,0.134138263,High,St41
2.07603985,0.132958913,High,St62
1.987617567,0.132559024,High,St2
2.879464668,0.133730656,High,St22
1.91219587,0.133451573,High,St42
1.201168273,0.133559801,High,St63
2.258956373,0.134154021,High,St3
2.172312664,0.133417026,High,St23
2.149138874,0.133451002,High,St43
2.033666902,0.13357297,High,St64
1.643024436,0.133233354,High,St24
1.989121061,0.132580545,High,St44
1.894085389,0.133652319,High,St65
2.463050387,0.133345699,High,St25
1.744199244,0.133397324,High,St45
2.168828644,0.13264882,High,St67
1.812931685,0.13361497,High,St46
2.039432417,0.13356632,High,St69
2.254362695,0.134216879,High,St7
1.638401219,0.134377214,High,St47
0.781609175,0.133000732,High,St70
1.790400842,0.133509811,High,St8
1.597177484,0.132963077,High,St48
1.570591819,0.134059943,High,St9
0.904313756,0.134261784,High,St49
1.132928464,0.134145603,High,St50
3.129361718,0.135589101,High,St32
1.604203527,0.134853627,High,St13
1.449967094,0.134691816,High,St33
1.298383326,0.134541214,High,St14
1.736237824,0.134855994,High,St15
2.883909751,0.13408323,High,St37
1.698138969,0.135073749,High,St19
1.479954442,0.134064842,High,St39
1.279884363,0.137058667,High,St31
1.968329118,0.079986859,High,Ancestor
1.728188284,0.066380675,High,Sterile
