Camera,Chamber_Column,Plate_position,Plate,WellID,StrainID,Status,NitrogenHistory,SalineHistory,ContSaline,Rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
A,1,plate1,1,a01,Ancestor,Ancestor,NA,NA,Low,1,5099,0.385594128,1,20,1.833333333,1 a01,5.099
A,1,plate1,1,a03,Sterile,Sterile,NA,NA,Low,1,12840,0.407797758,1,20,1.833333333,1 a03,12.84
A,1,plate1,1,a05,St1,Evolved,Low,Low,Low,1,8576,0.388533433,1,20,1.833333333,1 a05,8.576
A,1,plate1,1,a06,St21,Evolved,Low,High,Low,1,5579,0.389819056,1,20,1.833333333,1 a06,5.579
A,1,plate1,1,b01,St41,Evolved,High,Low,Low,1,6603,0.400100262,1,20,1.833333333,1 b01,6.603
A,1,plate1,1,b02,St62,Evolved,High,High,Low,1,4913,0.386646215,1,20,1.833333333,1 b02,4.913
A,1,plate1,1,b03,St2,Evolved,Low,Low,Low,1,4951,0.379774293,1,20,1.833333333,1 b03,4.951
A,1,plate1,1,b04,St22,Evolved,Low,High,Low,1,8849,0.388971938,1,20,1.833333333,1 b04,8.849
A,1,plate1,1,b05,St42,Evolved,High,Low,Low,1,4825,0.384882857,1,20,1.833333333,1 b05,4.825
A,1,plate1,1,b06,St63,Evolved,High,High,Low,1,9108,0.397378123,1,20,1.833333333,1 b06,9.108
A,1,plate1,1,c01,St3,Evolved,Low,Low,Low,1,5696,0.391512263,1,20,1.833333333,1 c01,5.696
A,1,plate1,1,c02,St23,Evolved,Low,High,Low,1,11036,0.393978046,1,20,1.833333333,1 c02,11.036
A,1,plate1,1,c03,St43,Evolved,High,Low,Low,1,8740,0.394340771,1,20,1.833333333,1 c03,8.74
A,1,plate1,1,c04,St64,Evolved,High,High,Low,1,11627,0.399783846,1,20,1.833333333,1 c04,11.627
A,1,plate1,1,c06,St24,Evolved,Low,High,Low,1,5189,0.378610618,1,20,1.833333333,1 c06,5.189
A,1,plate1,1,d01,St44,Evolved,High,Low,Low,1,5212,0.38002397,1,20,1.833333333,1 d01,5.212
A,1,plate1,1,d02,St65,Evolved,High,High,Low,1,4946,0.382258591,1,20,1.833333333,1 d02,4.946
A,1,plate1,1,d04,St25,Evolved,Low,High,Low,1,9156,0.365364659,1,20,1.833333333,1 d04,9.156
A,1,plate1,1,d05,St45,Evolved,High,Low,Low,1,6036,0.388260276,1,20,1.833333333,1 d05,6.036
A,1,plate1,1,d06,St67,Evolved,High,High,Low,1,5488,0.384353327,1,20,1.833333333,1 d06,5.488
C,1,plate1,2,a01,Ancestor,Ancestor,NA,NA,Low,1,2885,0.383405848,1,20,1.833333333,2 a01,2.885
C,1,plate1,2,a03,Sterile,Sterile,NA,NA,Low,1,4682,0.394063196,1,20,1.833333333,2 a03,4.682
C,1,plate1,2,b01,St46,Evolved,High,Low,Low,1,10282,0.406442627,1,20,1.833333333,2 b01,10.282
C,1,plate1,2,b02,St69,Evolved,High,High,Low,1,9797,0.400966673,1,20,1.833333333,2 b02,9.797
C,1,plate1,2,b03,St7,Evolved,Low,Low,Low,1,11556,0.419895651,1,20,1.833333333,2 b03,11.556
C,1,plate1,2,b05,St47,Evolved,High,Low,Low,1,5601,0.387556531,1,20,1.833333333,2 b05,5.601
C,1,plate1,2,b06,St70,Evolved,High,High,Low,1,4946,0.375563892,1,20,1.833333333,2 b06,4.946
C,1,plate1,2,c01,St8,Evolved,Low,Low,Low,1,9556,0.411024288,1,20,1.833333333,2 c01,9.556
C,1,plate1,2,c03,St48,Evolved,High,Low,Low,1,4658,0.398187848,1,20,1.833333333,2 c03,4.658
C,1,plate1,2,c05,St9,Evolved,Low,Low,Low,1,10597,0.409286795,1,20,1.833333333,2 c05,10.597
C,1,plate1,2,d01,St49,Evolved,High,Low,Low,1,12170,0.391335744,1,20,1.833333333,2 d01,12.17
C,1,plate1,2,d05,St50,Evolved,High,Low,Low,1,9786,0.394864993,1,20,1.833333333,2 d05,9.786
A,2,plate2,3,b04,St32,Evolved,Low,High,Low,1,3647,0.371579252,1,20,1.833333333,3 b04,3.647
A,2,plate2,3,c01,St13,Evolved,Low,Low,Low,1,7595,0.391846392,1,20,1.833333333,3 c01,7.595
A,2,plate2,3,c02,St33,Evolved,Low,High,Low,1,6656,0.388851637,1,20,1.833333333,3 c02,6.656
A,2,plate2,3,c05,St14,Evolved,Low,Low,Low,1,5102,0.387955775,1,20,1.833333333,3 c05,5.102
A,2,plate2,3,d03,St15,Evolved,Low,Low,Low,1,4702,0.376248757,1,20,1.833333333,3 d03,4.702
C,2,plate2,4,b04,St37,Evolved,Low,High,Low,1,9043,0.390266656,1,20,1.833333333,4 b04,9.043
C,2,plate2,4,c04,St19,Evolved,Low,Low,Low,1,6948,0.398608208,1,20,1.833333333,4 c04,6.948
C,2,plate2,4,c05,St39,Evolved,Low,High,Low,1,19052,0.402929124,1,20,1.833333333,4 c05,19.052
C,2,plate2,4,d04,Ancestor,Ancestor,NA,NA,Low,1,12857,0.405468309,1,20,1.833333333,4 d04,12.857
C,2,plate2,4,d06,Sterile,Sterile,NA,NA,Low,1,8974,0.397883984,1,20,1.833333333,4 d06,8.974
B,3,plate1,5,a01,Ancestor,Ancestor,NA,NA,Low,2,5369,0.376127209,1,20,1.833333333,5 a01,5.369
B,3,plate1,5,a03,Sterile,Sterile,NA,NA,Low,2,8211,0.390602643,1,20,1.833333333,5 a03,8.211
B,3,plate1,5,a04,Sterile,Sterile,NA,NA,Low,2,4771,0.367643776,1,20,1.833333333,5 a04,4.771
B,3,plate1,5,a05,St1,Evolved,Low,Low,Low,2,7815,0.383055478,1,20,1.833333333,5 a05,7.815
B,3,plate1,5,a06,St21,Evolved,Low,High,Low,2,5402,0.376312316,1,20,1.833333333,5 a06,5.402
B,3,plate1,5,b01,St41,Evolved,High,Low,Low,2,4662,0.376678575,1,20,1.833333333,5 b01,4.662
B,3,plate1,5,b02,St62,Evolved,High,High,Low,2,10075,0.396744498,1,20,1.833333333,5 b02,10.075
B,3,plate1,5,b03,St2,Evolved,Low,Low,Low,2,6285,0.382741988,1,20,1.833333333,5 b03,6.285
B,3,plate1,5,b04,St22,Evolved,Low,High,Low,2,4076,0.372366871,1,20,1.833333333,5 b04,4.076
B,3,plate1,5,b05,St42,Evolved,High,Low,Low,2,4901,0.373586604,1,20,1.833333333,5 b05,4.901
