"StrainID","HistN","HistS","Microbegrowth_r_LowN_LowS","Microbegrowth_r_LowN_HighS","Microbegrowth_r_HighN_LowS","Microbegrowth_r_HighN_HighS"
"St1","Low","Low",0.0107647407337819,0.00489934037492767,0.0135269017075375,0.00984911597428497
"St21","Low","High",0.00877533222336577,0.00529728790081015,0.0106479943161828,0.0124799041535093
"St41","High","Low",0.00683905247860505,0.00427270169905222,0.0185818914928566,0.0101917111996237
"St62","High","High",0.00789421512874912,0.00475399321077479,0.0185650389411828,0.0136013834167714
"St2","Low","Low",0.00867676290497152,0.00520607409813564,0.0115134192286038,0.00884497866752777
"St22","Low","High",0.00789872710876926,0.00781320298739263,0.010944862639671,0.0115940691676152
"St42","High","Low",0.00759631329185533,0.00483721397024206,0.0120851342172972,0.00881153765195054
"St63","High","High",0.01022420607194,0.00417195551084062,0.0168914703221981,0.0133693818815196
"St3","Low","Low",0.0120378888823032,0.00460358845274118,0.0133562405605871,0.00740186794962679
"St23","Low","High",0.0115938726479369,0.00677733585247405,0.0103596547746246,0.0101702267744321
"St43","High","Low",0.00737284778946957,0.00434361911703799,0.0134108830202718,0.00910279625857644
"St64","High","High",0.00989183085087343,0.0046079048222948,0.0200171587150472,0.012959809813347
"St24","Low","High",0.00862123242382602,0.00522105321106745,0.00908823560327063,0.0111014675649527
"St44","High","Low",0.00701253297898557,0.00497054080097246,0.0205221507445122,0.00836634411400746
"St65","High","High",0.00946206847342395,0.00484774106185053,0.00816820374130349,0.0114312048969802
"St25","Low","High",0.01030932378997,0.00596951679809565,0.0114834055781564,0.00952806436789795
"St45","High","Low",0.00647342693256699,0.00514039696178812,0.0204931961493805,0.00744190100217034
"St67","High","High",0.00754277983885423,0.00520814196753574,0.0177575097868852,0.0111256714704429
"St46","High","Low",0.00726200395646307,0.0049858854462925,0.0173354952214389,0.00950117674402249
"St69","High","High",0.00984395182927132,0.00491635601187788,0.0206809273320037,0.00985985559403965
"St7","Low","Low",0.0120386796874381,0.00525312526847004,0.0114957359356386,0.00856113417949292
"St47","High","Low",0.00750198960690794,0.00530794291373984,0.0175007906568978,0.0083807085876436
"St70","High","High",0.00943692364148778,0.00434871106843443,0.015434668495366,0.0114266974909638
"St8","Low","Low",0.00925269196472915,0.00589959985372128,0.0138647106581819,0.00977742409729332
"St48","High","Low",0.00765784828248089,0.00344495767453043,0.0097315644574591,0.00858685952576753
"St9","Low","Low",0.00998949486341101,0.00405619438225262,0.0135028498360892,0.0079837100701876
"St49","High","Low",0.00750239311472918,0.00407478269989951,0.0158342743846387,0.0105566834763173
"St50","High","Low",0.00735093366778088,0.00435038344384483,0.014395633005662,0.00781542787524525
"St32","Low","High",0.0103377136126798,0.00682594839670096,0.012726841705421,0.00913600201243468
"St13","Low","Low",0.0104588347180053,0.00558668009397026,0.0139786291188956,0.0079565539515129
"St33","Low","High",0.00865191522838407,0.00707580557753037,0.0110717342067049,0.011269606120098
"St14","Low","Low",0.0120447542843505,0.0047596768782943,0.0087412266740165,0.00776504160439798
"St15","Low","Low",0.0110780283591553,0.00546876035266803,0.00676386560460305,0.0088937481496495
"St37","Low","High",0.0105164398360681,0.00611497191503025,0.0132267899048479,0.011472156605027
"St19","Low","Low",0.0100572573213259,0.00525170808190497,0.010269035717551,0.00870211073316257
"St39","Low","High",0.00949946038463015,0.00737745291494976,0.0100335966348804,0.0104665044852989
"St31","Low","High",0.0108882219556994,0.00533562937608102,0.00870870297000804,0.00810832681623849
