Strain,Nitrogen,Salinity,SequencingNumber,SequencingID
ancestor,NA,NA,Sample2,2_S2
St1,Low,Low,Sample3,3_S3
St2,Low,Low,Sample4,4_S4
St3,Low,Low,Sample5,5_S5
St7,Low,Low,Sample9,9_S9
St8,Low,Low,Sample10,10_S10
St9,Low,Low,Sample11,11_S11
St13,Low,Low,Sample15,15_S15
St14,Low,Low,Sample16,16_S16
St15,Low,Low,Sample17,17_S17
St19,Low,Low,Sample21,21_S21
St21,Low,High,Sample23,23_S23
St22,Low,High,Sample24,24_S24
St23,Low,High,Sample25,25_S25
St24,Low,High,Sample26,26_S26
St25,Low,High,Sample27,27_S27
St31,Low,High,Sample33,33_S33
St32,Low,High,Sample34,34_S34
St33,Low,High,Sample35,35_S35
St37,Low,High,Sample39,39_S39
St39,Low,High,Sample41,41_S41
St41,High,Low,Sample43,43_S43
St42,High,Low,Sample44,44_S44
St43,High,Low,Sample45,45_S45
St44,High,Low,Sample46,46_S46
St45,High,Low,Sample47,47_S47
St46,High,Low,Sample48,48_S48
St47,High,Low,Sample49,49_S49
St48,High,Low,Sample50,50_S50
St49,High,Low,Sample51,51_S51
St50,High,Low,Sample52,52_S52
St62,High,High,Sample63,63_S63
St63,High,High,Sample64,64_S64
St64,High,High,Sample65,65_S65
St65,High,High,Sample66,66_S66
St67,High,High,Sample67,67_S67
St69,High,High,Sample68,68_S68
St70,High,High,Sample69,69_S69
