locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFDHAJOI_00001	CDS	1404		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
HFDHAJOI_00002	CDS	729	lutR_1		COG2186	HTH-type transcriptional regulator LutR
HFDHAJOI_00003	CDS	1170				hypothetical protein
HFDHAJOI_00004	CDS	534	yiaM_1		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
HFDHAJOI_00005	CDS	1278	siaM_1		COG1593	Sialic acid TRAP transporter large permease protein SiaM
HFDHAJOI_00006	CDS	1005				hypothetical protein
HFDHAJOI_00007	CDS	930	ribN_1			Riboflavin transporter
HFDHAJOI_00008	CDS	135				hypothetical protein
HFDHAJOI_00009	CDS	1374	fucK_1	2.7.1.51		L-fuculokinase
HFDHAJOI_00010	CDS	324	rhaM	5.1.3.32		L-rhamnose mutarotase
HFDHAJOI_00011	CDS	1014	lsrD_1			Autoinducer 2 import system permease protein LsrD
HFDHAJOI_00012	CDS	993	rbsC_1		COG1172	Ribose import permease protein RbsC
HFDHAJOI_00013	CDS	1536	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HFDHAJOI_00014	CDS	996	lsrB_1			Autoinducer 2-binding protein LsrB
HFDHAJOI_00015	CDS	813	ulaR		COG1349	HTH-type transcriptional regulator UlaR
HFDHAJOI_00016	CDS	2097	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
HFDHAJOI_00017	CDS	159				hypothetical protein
HFDHAJOI_00018	CDS	1293				hypothetical protein
HFDHAJOI_00019	CDS	720	ybhL_1		COG0670	Inner membrane protein YbhL
HFDHAJOI_00020	CDS	774				hypothetical protein
HFDHAJOI_00021	CDS	573	ecfG_1			ECF RNA polymerase sigma factor EcfG
HFDHAJOI_00022	CDS	639				hypothetical protein
HFDHAJOI_00023	CDS	180				hypothetical protein
HFDHAJOI_00024	CDS	1104				hypothetical protein
HFDHAJOI_00025	CDS	417				hypothetical protein
HFDHAJOI_00026	CDS	468				hypothetical protein
